,東京,東京,東京,大阪,大阪,大阪,福岡,福岡,福岡
年月,平均気温(℃),最高気温(℃),最低気温(℃),平均気温(℃),最高気温(℃),最低気温(℃),平均気温(℃),最高気温(℃),最低気温(℃)
2010年1月,7,18,-0.3,6.1,15.8,-1.3,6.6,18.8,-1.3
2010年2月,6.5,21,-0.4,7.8,23.4,0.3,9.4,22.9,0.3
2010年3月,9.1,21.6,0.9,9.6,24.2,1.6,10.9,24.8,1.1
2010年4月,12.4,25.5,1.4,13.6,24.9,4,13.8,23.3,6.5
2010年5月,19,30.9,11.4,18.8,31.3,9.1,19.2,27.9,10.5
2010年6月,23.6,31.8,13.4,23.9,32.8,16.1,23.5,31.2,15.7
2010年7月,28,36.3,19.9,27.9,36.7,21,27.7,36.1,22.6
2010年8月,29.6,37.2,23.6,30.5,37.4,24.4,30.3,37.4,24.4
2010年9月,25.1,35.9,13.9,26.7,36.2,16.6,26.3,36.4,17.8
2010年10月,18.9,28.3,9.3,19.9,28.8,9,20,27.5,9.5
2010年11月,13.5,22.4,7,13.2,21.1,5.4,13.2,21.3,4.5
2010年12月,9.9,23.7,2.1,9,21.5,0.8,8.8,20.1,0.1
2011年1月,5.1,12.2,-1.1,4.4,10.6,-2.7,3.8,9.8,-2.2
2011年2月,7,20.8,-0.8,7.4,17.8,-0.7,8.2,21.1,0.2
2011年3月,8.1,20.2,1,8.1,20.8,0.9,8.8,19.8,0.8
2011年4月,14.5,24.8,4.3,13.8,25,4.6,14.7,26.9,5.4
2011年5月,18.5,29.6,12.2,19.6,27.8,12.2,19.8,30.3,12.3
2011年6月,22.8,35.1,12.1,24.2,35.4,16.2,23.9,34.5,17.8
2011年7月,27.3,34.8,18,27.8,35.2,22.7,27.9,35.7,21
2011年8月,27.5,36.1,19.3,28.9,36.2,22.6,28.5,36.1,23
2011年9月,25.1,32.5,15.9,25.2,34.8,15.2,25.2,34.8,14.3
2011年10月,19.5,29.7,11.2,19.5,27.5,9.8,19.7,27.7,10.6
2011年11月,14.9,22.7,7.2,15.2,26.3,5.5,16.3,27.5,5.2
