年月,青森（平均気温）,青森（最高気温）,青森（最低気温）,旭川（平均気温）,旭川（最高気温）,旭川（最低気温）
2010年1月,-0.5,9.5,-6.3,-5.1,4.7,-18.9
2010年2月,-1,17.1,-8.6,-6.2,12.2,-18.6
2010年3月,1.8,11.9,-5.4,-2.6,10,-12.8
2010年4月,7.2,18.2,-1.4,3.7,14.7,-7
2010年5月,12.4,24,5.9,11.3,25.3,1.5
2010年6月,18.5,32.3,8.5,19.5,33.9,6.9
2010年7月,23.8,34.3,18,22.1,30.6,12
2010年8月,26,36.6,17.2,23.3,32.8,14.7
2010年9月,20.7,33.2,8.7,17.3,30.3,4.7
2010年10月,14.3,25.3,2.8,9.9,21.2,-2.5
2010年11月,7.6,19.5,-1.7,2.9,14.5,-6.1
2010年12月,2.5,16.3,-6.5,-2.4,10.1,-14.7
2011年1月,-2.6,4.1,-9.6,-7.8,0.3,-20.7
2011年2月,0.3,13.7,-7.1,-4.6,9.6,-18.2
2011年3月,1.4,11.2,-6.8,-2.1,9.1,-12.8
2011年4月,8.3,22.5,-0.6,5,18.4,-8.4
2011年5月,12.4,25.1,3,10,24.4,-0.9
2011年6月,18.2,30.4,6.8,16.9,29.3,4.4
2011年7月,22.9,31,12.9,21.6,31.8,10.7
2011年8月,24.2,34.9,17.3,22.4,33.4,13.7
2011年9月,20.4,35.6,9.5,17.4,31.1,7.2
2011年10月,13.3,23.7,2.8,9.3,19.4,-0.2
2011年11月,8.1,18.8,-0.8,3,16.7,-6.7
2011年12月,0,11.7,-8,-5.4,3.6,-20.3
2012年1月,-2.6,4.7,-10.1,-9.4,0.4,-21.8
2012年2月,-2.5,7.3,-7.4,-8.1,1.9,-20.6
2012年3月,1.8,14.2,-7.5,-2.8,13.2,-18.2
2012年4月,7.2,24.5,-1.9,5.4,22.8,-6.9
2012年5月,13.5,23.8,7,12.5,27.1,2.5
2012年6月,17,26.5,10,17,31.9,5.6
2012年7月,21.9,35.4,13.6,21.1,32.7,10.3
2012年8月,25.3,34.7,15.6,22.6,33.1,12.1
2012年9月,23.5,36.1,13.2,20.5,32.9,10.2
2012年10月,14.4,25.3,3.5,10.4,21.6,-1.9
2012年11月,7,15.8,-1.5,3.1,12.8,-4.7
2012年12月,-0.5,11.2,-8.3,-6,6.1,-24.4
2013年1月,-2.4,4.9,-7.8,-9.3,0,-20.1
2013年2月,-1.7,9.2,-8,-7.2,7.1,-21.2
2013年3月,2,15.5,-6.3,-2.1,13.2,-16.9
2013年4月,7.5,19.6,0.6,4.1,16.9,-6.3
2013年5月,12.5,25,2.3,10.6,30.5,-0.4
2013年6月,18.1,27.7,10.6,18.1,31.3,6.5
2013年7月,21.8,31.4,14.2,22.8,32.6,13.1
2013年8月,24.7,34.7,16.3,21.9,33.5,12.2
2013年9月,20.4,32.8,8.2,16.5,26.7,1.6
2013年10月,14.6,25.6,3.5,10.2,24.1,-0.7
2013年11月,6.7,19.3,-2.4,3.3,15.9,-6.4
2013年12月,2,11.4,-4.9,-2.6,8.2,-14.5
2014年1月,-1.6,9.8,-10.9,-7.9,5.3,-21.8
2014年2月,-1.3,7.5,-7.9,-6.9,5.3,-20.8
2014年3月,2.5,17,-5,-2.2,14.3,-17.3
2014年4月,8.8,25.8,-0.9,4.6,24,-7
2014年5月,14.6,31.3,5.1,13.1,30.8,0.8
2014年6月,18.1,29.8,13.3,19.2,35.9,8.9
2014年7月,23.2,33.9,16,21.9,31,14.2
2014年8月,23.6,33.8,15.1,21.3,32.2,9.7
2014年9月,19.2,30.1,10.2,15.5,28.3,4.3
2014年10月,12.8,26.5,2.4,8.3,22.2,-3.7
2014年11月,8.1,21.9,-0.7,3,15.7,-6.7
2014年12月,0,13.7,-5.7,-4,8.1,-17.2
2015年1月,-0.2,8.6,-6.7,-5.1,5.7,-19.5
2015年2月,1.2,9.1,-7.3,-4.1,6.4,-22
2015年3月,4.6,18.8,-3.5,1.7,14.3,-9.3
2015年4月,9.9,27.8,-2.6,7.2,26.2,-5
2015年5月,15.1,28.4,5.7,13.2,29.3,1.8
2015年6月,18.1,30.3,10.7,16,28.1,4.5
2015年7月,22.8,33.4,13.8,20.9,30.9,8.6
2015年8月,23.6,36.5,16.9,20.9,31.1,9.4
2015年9月,19.4,29.3,10.4,16.4,27.1,7.4
2015年10月,12.2,24.4,2.8,8.2,21,-2.2
2015年11月,8.4,20.6,-0.7,2,18.5,-14.8
2015年12月,3.1,12,-6.1,-2.5,7.3,-17.2
2016年1月,-0.8,5.6,-7,-6.6,0.6,-20.8
2016年2月,-0.1,14.7,-6,-5.3,5.5,-16
2016年3月,4,18.4,-4.8,-0.6,14,-18.8
2016年4月,9.2,20.8,-0.2,5.8,20.6,-3.1
2016年5月,15.4,29,1.6,14.4,30,-1.7
2016年6月,17.4,27.4,9.1,15.6,29,3
2016年7月,21.5,31.7,14.9,20.7,30.9,9.4
2016年8月,24.5,33.4,15.2,22.9,33.3,10.8
2016年9月,20.7,30.5,10.2,17.5,31.6,6
2016年10月,12.7,25,0.2,7.7,23.1,-1.8
2016年11月,5,17.8,-3.4,-1.1,9.1,-10.7
2016年12月,2,14.2,-4.2,-4.2,8.4,-18.8
2017年1月,-0.4,7.8,-8.1,-7.9,2.9,-22.5
2017年2月,0.2,9.1,-7,-5.1,6.6,-20.6
2017年3月,2.6,13.7,-5.4,-1.2,7.6,-12.1
2017年4月,9.7,22.7,-0.9,6.1,20.7,-5.5
2017年5月,15.1,30.1,5.2,13.8,26.7,2.2
2017年6月,16.9,27.2,8.7,15.3,29.2,4.1
2017年7月,24,35.9,17.2,22.6,33.6,13.8
2017年8月,22,31.6,15.3,20.3,30.1,9.1
2017年9月,19.1,28.9,6.4,15.4,27.1,1.9
2017年10月,12.7,25.7,2.9,8.3,20.7,-2.4
2017年11月,6.6,21.2,-4.8,2.1,18.1,-9.6
2017年12月,0.2,8.4,-6.5,-4.7,6.6,-11.8
2018年1月,-0.9,8.3,-9.5,-5.8,4,-18.2
